name,lng,lat,beg,end,text
Богородицк,37.47088,54.49442,1788-10-19,1788-10-19,8 Октября
Богородицк,37.47088,54.49442,1788-07-19,1788-07-19,Июля 8
Богородицк,37.47088,54.49442,1788-11-02,1788-11-02,Октября 22
Дмитров,37.52041,56.34485,1788-09-26,1788-09-26,15 Сентября
Ратковка,37.59472,49.75083,1788-08-17,1788-08-17,Августа 6
Ратковка,37.59472,49.75083,1788-10-12,1788-10-12,Октября 1
Ратковка,37.59472,49.75083,1788-06-05,1788-06-05,Вознесение
Кашин,37.60806,57.35917,1788-03-23,1788-03-23,второй неделе в воскресенье
Кашин,37.60806,57.35917,1788-07-04,1788-07-04,десятую пятницу
Тула,37.61822,54.19609,1788-06-19,1788-06-19,Июня 8
Тула,37.61822,54.19609,1788-10-12,1788-10-12,Покрова
Маяки,37.62433,48.946,1788-01-12,1788-01-12,Генваря 1
Маяки,37.62433,48.946,1788-10-12,1788-10-12,Октября 1
Плоское,37.63101,53.0502,1788-06-05,1788-06-05,Мая 25
Плоское,37.63101,53.0502,1788-11-19,1788-11-19,Ноября 8
Двуречная,37.68262,49.85019,1788-01-12,1788-01-12,Генваря 1
Добрая,37.7,52.73333,1788-05-20,1788-05-20,9 Мая
Добрая,37.7,52.73333,1788-07-07,1788-07-07,26 Июня
Добрая,37.7,52.73333,1788-12-17,1788-12-17,6 Декабря
Миротино,37.70476,54.63291,1788-07-31,1788-07-31,Июля 20
Калинкино,37.73333,56.71667,1788-07-31,1788-07-31,Июля 20
Ольховатка,37.75264,50.72917,1788-01-17,1788-01-17,Генваря 6
Ольховатка,37.75264,50.72917,1788-08-12,1788-08-12,день седьми Мучеников Маккавей
Ольховатка,37.75264,50.72917,1788-05-04,1788-05-04,Великомученика Георгия
Каменка,37.83107,49.97964,1788-05-04,1788-05-04,Великомученика Георгия
Каменка,37.83107,49.97964,1788-05-20,1788-05-20,Николая Чудотворца летнего и зимнего
Каменка,37.83107,49.97964,1788-03-28,1788-03-28,Алексия человека Божия
Каменка,37.83107,49.97964,1788-12-17,1788-12-17,Николая Чудотворца летнего и зимнего
Старой Оскол,37.84167,51.29667,1788-07-19,1788-07-19,Июля 8
Старой Оскол,37.84167,51.29667,1788-08-26,1788-08-26,Августа 15
Старой Оскол,37.84167,51.29667,1788-04-13,1788-04-13,пятое Воскресенье
Череповец,37.9,59.13333,1788-01-22,1788-01-22,Генваря 11
Череповец,37.9,59.13333,1788-10-06,1788-10-06,Сентября 25
Череповец,37.9,59.13333,1788-12-07,1788-12-07,Ноября 26
